Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
abrocoma boliviensis,Critically Endangered,0,0,0,0
addax nasomaculatus,Critically Endangered,0.4771213,0.30103,2,1
ailurops melanotis,Critically Endangered,0,0,0,0
aproteles bulmerae,Critically Endangered,0,0,0,0
ateles hybridus,Critically Endangered,0,0,0,0
avahi cleesei,Critically Endangered,0,0,0,0
avahi unicolor,Critically Endangered,0,0,0,0
axis kuhlii,Critically Endangered,0,0,0,0
beatragus hunteri,Critically Endangered,0.30103,0,1,0
bettongia penicillata,Critically Endangered,0.30103,0,1,0
biswamoyopterus biswasi,Critically Endangered,0,0,0,0
bos sauveli,Critically Endangered,0,0,0,0
brachyteles arachnoides,Critically Endangered,0.30103,0.30103,1,1
brachyteles hypoxanthus,Critically Endangered,0,0,0,0
bradypus pygmaeus,Critically Endangered,0,0,0,0
bubalus mindorensis,Critically Endangered,0,0,0,0
bunolagus monticularis,Critically Endangered,0,0,0,0
burramys parvus,Critically Endangered,0,0,0,0
callicebus barbarabrownae,Critically Endangered,0,0,0,0
callithrix flaviceps,Critically Endangered,0,0,0,0
camelus ferus,Critically Endangered,1.380211,1.255273,23,17
canis rufus,Critically Endangered,0,0,0,0
cavia intermedia,Critically Endangered,0,0,0,0
cebus aequatorialis,Critically Endangered,0,0,0,0
cebus kaapori,Critically Endangered,0,0,0,0
cercocebus galeritus,Critically Endangered,0.4771213,0.4771213,2,2
cercopithecus roloway,Critically Endangered,0.30103,0.30103,1,1
chalinolobus tuberculatus,Critically Endangered,0,0,0,0
cheirogaleus sibreei,Critically Endangered,0,0,0,0
coleura seychellensis,Critically Endangered,0,0,0,0
colobus vellerosus,Critically Endangered,0,0,0,0
congosorex phillipsorum,Critically Endangered,0,0,0,0
cremnomys elvira,Critically Endangered,0,0,0,0
cricetus cricetus,Critically Endangered,0.60206,0.4771213,3,2
crocidura andamanensis,Critically Endangered,0,0,0,0
crocidura harenna,Critically Endangered,0,0,0,0
crocidura jenkinsi,Critically Endangered,0,0,0,0
crocidura nicobarica,Critically Endangered,0,0,0,0
crocidura trichura,Critically Endangered,0,0,0,0
crocidura wimmeri,Critically Endangered,0,0,0,0
cryptochloris wintoni,Critically Endangered,0,0,0,0
cryptotis nelsoni,Critically Endangered,0,0,0,0
ctenomys osvaldoreigi,Critically Endangered,0,0,0,0
ctenomys roigi,Critically Endangered,0,0,0,0
ctenomys sociabilis,Critically Endangered,0,0,0,0
dasyprocta mexicana,Critically Endangered,0,0,0,0
dendrolagus mayri,Critically Endangered,0,0,0,0
dendrolagus pulcherrimus,Critically Endangered,0,0,0,0
dendrolagus scottae,Critically Endangered,0,0,0,0
dendromus kahuziensis,Critically Endangered,0,0,0,0
dicerorhinus sumatrensis,Critically Endangered,0,0,0,0
diceros bicornis,Critically Endangered,1.079181,0.7781513,11,5
dipodomys gravipes,Critically Endangered,0,0,0,0
dobsonia chapmani,Critically Endangered,0,0,0,0
dorcopsis atrata,Critically Endangered,0,0,0,0
equus africanus,Critically Endangered,0,0,0,0
erythrocebus baumstarki,Critically Endangered,0,0,0,0
eubalaena glacialis,Critically Endangered,0,0,0,0
eudiscoderma thongareeae,Critically Endangered,0,0,0,0
eulemur cinereiceps,Critically Endangered,0,0,0,0
eulemur flavifrons,Critically Endangered,0,0,0,0
eulemur mongoz,Critically Endangered,0,0,0,0
gorilla beringei,Critically Endangered,1.1760913,1.146128,14,13
gorilla gorilla,Critically Endangered,1.53148,1.4771213,33,29
gyldenstolpia fronto,Critically Endangered,0,0,0,0
gymnobelideus leadbeateri,Critically Endangered,0,0,0,0
habromys chinanteco,Critically Endangered,0,0,0,0
habromys ixtlani,Critically Endangered,0,0,0,0
habromys lepturus,Critically Endangered,0,0,0,0
habromys schmidlyi,Critically Endangered,0,0,0,0
habromys simulatus,Critically Endangered,0,0,0,0
hapalemur alaotrensis,Critically Endangered,0,0,0,0
hapalemur aureus,Critically Endangered,0.30103,0.30103,1,1
heterogeomys lanius,Critically Endangered,0,0,0,0
hipposideros hypophyllus,Critically Endangered,0,0,0,0
hipposideros lamottei,Critically Endangered,0,0,0,0
indri indri,Critically Endangered,0,0,0,0
lagothrix flavicauda,Critically Endangered,0,0,0,0
lasiorhinus krefftii,Critically Endangered,0,0,0,0
leontopithecus caissara,Critically Endangered,0,0,0,0
lepilemur ahmansoni,Critically Endangered,0,0,0,0
lepilemur grewcockorum,Critically Endangered,0,0,0,0
lepilemur hollandorum,Critically Endangered,0,0,0,0
lepilemur jamesorum,Critically Endangered,0,0,0,0
lepilemur mittermeieri,Critically Endangered,0,0,0,0
lepilemur ruficaudatus,Critically Endangered,0,0,0,0
lepilemur sahamalaza,Critically Endangered,0,0,0,0
lepilemur septentrionalis,Critically Endangered,0,0,0,0
lepilemur tymerlachsoni,Critically Endangered,0,0,0,0
lipotes vexillifer,Critically Endangered,0.30103,0.30103,1,1
lophuromys eisentrauti,Critically Endangered,0,0,0,0
loxodonta cyclotis,Critically Endangered,0.7781513,0.60206,5,3
macaca nigra,Critically Endangered,0.60206,0.60206,3,3
macaca pagensis,Critically Endangered,0.30103,0.30103,1,1
manis culionensis,Critically Endangered,0,0,0,0
manis javanica,Critically Endangered,0.30103,0.30103,1,1
