,Host,populationTrend
1,Lemmus lemmus,Stable
2,Lepus castroviejoi,Decreasing
3,Marmota marmota,Stable
4,Microtus felteni,Unknown
5,Microtus thomasi,Stable
6,Microtus multiplex,Stable
7,Microtus savii,Stable
8,Microtus duodecimcostatus,Stable
9,Microtus lusitanicus,Unknown
10,Microtus liechtensteini,Unknown
11,Plecotus sardus,Decreasing
12,Microtus brachycercus,Stable
13,Myotis alcathoe,Unknown
14,Pipistrellus murrayi,
15,Uromys boeadii,Decreasing
16,Sorex antinorii,Unknown
17,Apodemus epimelas,Stable
18,Mus spicilegus,Decreasing
19,Nyctalus azoreum,Decreasing
20,Euryoryzomys lamia,Decreasing
21,Phocarctos hookeri,Decreasing
22,Pipistrellus maderensis,Decreasing
23,Plecotus teneriffae,Decreasing
24,Prolagus sardus,
25,Apodemus alpicola,Unknown
26,Sicista severtzovi,Stable
27,Sorex samniticus,Unknown
28,Spalax giganteus,Stable
29,Spalax microphthalmus,Stable
30,Acomys minous,Unknown
31,Acomys nesiotes,Unknown
32,Erinaceus europaeus,Stable
33,Crocidura sicula,Unknown
34,Sorex coronatus,Stable
35,Sorex granarius,Unknown
36,Microtus gerbei,Stable
37,Lepus corsicanus,Decreasing
38,Lepus granatensis,Stable
39,Talpa caeca,Unknown
40,Talpa occidentalis,Stable
41,Talpa romana,Stable
42,Talpa stankovici,Unknown
43,Crocidura canariensis,Decreasing
44,Hipposideros ater,Unknown
45,Hipposideros papua,Stable
46,Hipposideros calcaratus,Unknown
47,Hipposideros cervinus,Unknown
48,Hipposideros diadema,Unknown
49,Hipposideros dinops,Decreasing
50,Hipposideros madurae,Unknown
51,Hipposideros maggietaylorae,Stable
52,Hipposideros sorenseni,Unknown
53,Hipposideros sumbae,Decreasing
54,Phoniscus aerosa,Unknown
55,Kerivoula flora,Decreasing
56,Ammotragus lervia,Decreasing
57,Macroglossus minimus,Stable
58,Marmota menzbieri,Decreasing
59,Megaerops kusnotoi,Decreasing
60,Megaerops wetmorei,Decreasing
