Host,redlistCategory,NumVirus
abditomys latidens,Data Deficient,NA
abeomelomys sevia,Least Concern,NA
abrawayaomys chebezi,Data Deficient,NA
abrawayaomys ruschii,Least Concern,NA
abrocoma bennettii,Least Concern,NA
abrocoma boliviensis,Critically Endangered,NA
abrocoma budini,Data Deficient,NA
abrocoma cinerea,Least Concern,NA
abrocoma famatina,Data Deficient,NA
abrocoma shistacea,Least Concern,NA
abrocoma uspallata,Data Deficient,NA
abrocoma vaccarum,Data Deficient,NA
abrothrix andinus,Least Concern,NA
abrothrix illutea,Least Concern,NA
abrothrix jelskii,Least Concern,NA
abrothrix lanosus,Least Concern,NA
abrothrix longipilis,Least Concern,1
abrothrix manni,Least Concern,NA
abrothrix olivaceus,Least Concern,1
abrothrix sanborni,Near Threatened,1
acerodon celebensis,Vulnerable,NA
acerodon humilis,Endangered,NA
acerodon jubatus,Endangered,NA
acerodon leucotis,Vulnerable,NA
acerodon mackloti,Vulnerable,NA
acinonyx jubatus,Vulnerable,15
acomys airensis,Least Concern,NA
acomys cahirinus,Least Concern,2
acomys cilicicus,Data Deficient,NA
acomys cineraceus,Least Concern,NA
acomys dimidiatus,Least Concern,1
acomys ignitus,Least Concern,NA
acomys johannis,Least Concern,NA
acomys kempi,Least Concern,NA
acomys louisae,Least Concern,NA
acomys minous,Data Deficient,NA
acomys mullah,Least Concern,NA
acomys muzei,Least Concern,NA
acomys nesiotes,Data Deficient,NA
acomys ngurui,Least Concern,NA
acomys percivali,Least Concern,NA
acomys russatus,Least Concern,NA
acomys selousi,Least Concern,NA
acomys seurati,Least Concern,NA
acomys spinosissimus,Least Concern,NA
acomys subspinosus,Least Concern,NA
acomys wilsoni,Least Concern,NA
aconaemys fuscus,Least Concern,NA
aconaemys porteri,Data Deficient,NA
aconaemys sagei,Data Deficient,NA
acrobates pygmaeus,Least Concern,NA
addax nasomaculatus,Critically Endangered,2
aegialomys galapagoensis,Vulnerable,NA
aegialomys xanthaeolus,Least Concern,NA
aepeomys lugens,Least Concern,NA
aepeomys reigi,Vulnerable,NA
aepyceros melampus,Least Concern,15
aepyprymnus rufescens,Least Concern,NA
aeretes melanopterus,Near Threatened,NA
aeromys tephromelas,Data Deficient,NA
aeromys thomasi,Least Concern,NA
aethalops aequalis,Least Concern,NA
aethalops alecto,Least Concern,NA
aethomys bocagei,Least Concern,NA
aethomys chrysophilus,Least Concern,NA
aethomys hindei,Least Concern,NA
aethomys ineptus,Least Concern,NA
aethomys kaiseri,Least Concern,2
aethomys nyikae,Least Concern,NA
aethomys silindensis,Data Deficient,NA
aethomys stannarius,Data Deficient,NA
aethomys thomasi,Least Concern,NA
ailuropoda melanoleuca,Vulnerable,4
ailurops melanotis,Critically Endangered,NA
ailurops ursinus,Vulnerable,NA
ailurus fulgens,Endangered,4
akodon aerosus,Least Concern,NA
akodon affinis,Least Concern,NA
akodon albiventer,Least Concern,NA
akodon azarae,Least Concern,5
akodon boliviensis,Least Concern,NA
akodon budini,Least Concern,NA
akodon caenosus,Data Deficient,NA
akodon cursor,Least Concern,1
akodon dayi,Least Concern,NA
akodon dolores,Least Concern,NA
akodon fumeus,Least Concern,NA
akodon iniscatus,Least Concern,NA
akodon juninensis,Least Concern,NA
akodon kofordi,Least Concern,NA
akodon lindberghi,Data Deficient,NA
akodon lutescens,Least Concern,NA
akodon mimus,Least Concern,NA
akodon molinae,Least Concern,NA
akodon mollis,Least Concern,NA
akodon montensis,Least Concern,3
akodon mystax,Data Deficient,NA
akodon orophilus,Least Concern,NA
akodon paranaensis,Least Concern,1
akodon pervalens,Data Deficient,NA
akodon philipmyersi,Data Deficient,NA
akodon polopi,Least Concern,NA
akodon reigi,Least Concern,NA
akodon sanctipaulensis,Data Deficient,NA
akodon serrensis,Least Concern,NA
akodon siberiae,Near Threatened,NA
akodon simulator,Least Concern,1
akodon spegazzinii,Least Concern,NA
akodon subfuscus,Least Concern,NA
akodon surdus,Vulnerable,NA
akodon sylvanus,Least Concern,NA
akodon toba,Least Concern,NA
akodon torques,Least Concern,NA
akodon varius,Data Deficient,1
alcelaphus buselaphus,Least Concern,12
alces alces,Least Concern,12
alionycteris paucidentata,Least Concern,NA
allactaga balikunica,Least Concern,NA
allactaga bullata,Least Concern,NA
allactaga elater,Least Concern,NA
allactaga euphratica,Least Concern,NA
allactaga firouzi,Data Deficient,NA
allactaga hotsoni,Least Concern,NA
allactaga major,Least Concern,NA
allactaga severtzovi,Least Concern,NA
allactaga sibirica,Least Concern,NA
allactaga tetradactyla,Data Deficient,NA
allactaga toussi,Least Concern,NA
allactaga vinogradovi,Near Threatened,NA
allactaga williamsi,Least Concern,NA
allactodipus bobrinskii,Least Concern,NA
allenopithecus nigroviridis,Least Concern,4
allocebus trichotis,Endangered,NA
allochrocebus lhoesti,Vulnerable,2
allochrocebus preussi,Endangered,NA
allochrocebus solatus,Near Threatened,2
allocricetulus curtatus,Least Concern,NA
allocricetulus eversmanni,Least Concern,NA
alouatta arctoidea,Least Concern,NA
alouatta belzebul,Vulnerable,5
alouatta caraya,Near Threatened,4
alouatta discolor,Vulnerable,NA
alouatta guariba,Vulnerable,2
alouatta juara,Least Concern,NA
alouatta macconnelli,Least Concern,NA
alouatta nigerrima,Least Concern,NA
alouatta palliata,Vulnerable,2
alouatta pigra,Endangered,4
alouatta puruensis,Vulnerable,NA
alouatta sara,Near Threatened,NA
alouatta seniculus,Least Concern,6
alouatta ululata,Endangered,NA
alticola albicaudus,Data Deficient,NA
alticola argentatus,Least Concern,1
alticola barakshin,Least Concern,NA
alticola lemminus,Least Concern,NA
alticola macrotis,Least Concern,NA
alticola montosa,Vulnerable,NA
