pathogen,type,target,human.target,domestic.target,wild.target,livestock.target,companion.target,transmission,direct,indirect,vector,trophic,vector.id,fleas,ticks,mosquitoes,flies,vector.req,region,region.standard,n.america,s.america,europe,asia,africa,oceania,worldwide,environment.reservoir,domestic.reservoir,wild.reservoir,livestock.reservoir,companion.reservoir,reservoir.type,single,multiple,complex,taxon,mammal,environment.1,mollusk,arthropod,fish,amphibian,bird,annelid,helminth,reptile,orders,artiodactyla,carnivora,rodentia,perissodactyla,primates,cetacea,soricomorpha,chiroptera,cingulata,didelphimorphia,diprotodontia,erinaceomorpha,hyracoidea,lagomorpha,pilosa,cef,confidence,reservoir,species,MSW05_Order,MSW05_Family,MSW05_Genus,MSW05_Species,AdultMass_g,SexMat_d,Gest_d,IBI_d,LitterSize,Litters_Yr,BirthWt_g,Wean_d,WeanWt_g,MaxLong_m
African horse sickness virus,virus,"horses, mules",0,1,0,1,0,VB,0,0,1,0,midges,0,0,0,0,Y,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Perissodactyla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,medium,"zebra (Equus quagga, Equus zebra)",Equus quagga,Perissodactyla,Equidae,Equus,quagga,4.00E+05,900,365,556,1,0.6,32000,395,205000,240
African horse sickness virus,virus,"horses, mules",0,1,0,1,0,VB,0,0,1,0,midges,0,0,0,0,Y,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Perissodactyla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,medium,"zebra (Equus quagga, Equus zebra)",Equus zebra,Perissodactyla,Equidae,Equus,zebra,282462.13,963.17,363.49,653.95,1,0.35,29496.68,181.46,117097.78,288
African swine fever virus,virus,pigs,0,1,0,1,0,VB,0,0,1,0,ticks,0,1,0,0,Y,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,medium,"warthogs (Phacochoerus aethiopicus, Phacochoerus africanus)",Phacochoerus aethiopicus,Artiodactyla,Suidae,Phacochoerus,aethiopicus,75607.52,631.12,165.4,365,3.2,1.5,691.95,106.45,9027.11969,225.6
African swine fever virus,virus,pigs,0,1,0,1,0,VB,0,0,1,0,ticks,0,1,0,0,Y,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,medium,"warthogs (Phacochoerus aethiopicus, Phacochoerus africanus)",Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,africanus,82499.99,578,172.49,426,3,1.5,660,84,7999.551808,180
Alcelaphine herpesvirus-1,virus,cattle,0,1,0,1,0,"DC, IC",1,1,0,0,none,0,0,0,0,NA,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"wildebeest (Connochaetes gnou, Connochaetes taurinus)",Connochaetes gnou,Artiodactyla,Bovidae,Connochaetes,gnou,156547.53,965.63,256.76,370.8950508,1,0.992920212,10941.45,111.57,37529.54431,240
Alcelaphine herpesvirus-1,virus,cattle,0,1,0,1,0,"DC, IC",1,1,0,0,none,0,0,0,0,NA,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"wildebeest (Connochaetes gnou, Connochaetes taurinus)",Connochaetes taurinus,Artiodactyla,Bovidae,Connochaetes,taurinus,198619.68,841.82,251.49,365,0.98,1,18044.36,256.32,51051.33,258
Alkhurma hemorrhagic fever virus,virus,humans,1,0,0,0,0,"VB, DC, T",1,0,1,1,ticks,0,1,0,0,Y,"Africa, Middle East","AF,AS",0,0,0,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,"camels (Camelus dromedarius), sheep (Ovis aries)",Camelus dromedarius,Artiodactyla,Camelidae,Camelus,dromedarius,492714.47,1947.94,386.51,614.41,0.98,1,36751.19,389.38,253484,480
Alkhurma hemorrhagic fever virus,virus,humans,1,0,0,0,0,"VB, DC, T",1,0,1,1,ticks,0,1,0,0,Y,"Africa, Middle East","AF,AS",0,0,0,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,"camels (Camelus dromedarius), sheep (Ovis aries)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Amur virus,virus,humans,1,0,0,0,0,IC,0,1,0,0,none,0,0,0,0,NA,Asia,AS,0,0,0,1,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,high,Korean field mouse (Apodemus peninsulae),Apodemus peninsulae,Rodentia,Muridae,Apodemus,peninsulae,32.9,72.10240321,24.15798424,36.85153418,4.41,3.182242152,2,23.81325663,10.76899648,52.8
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,high,"tree squirrels (Sciurus griseus, Sciurus carolinensis, Sciurus niger)",Sciurus griseus,Rodentia,Sciuridae,Sciurus,griseus,703.85,330.37,43.49,365,2.65,1,15.18381248,61,197.765793,120
